c,c#,d,d#,e,f,f#,g,g#,a,a#,b,chord 
0.00185210197047, 0.103872939781, 0.0057348005734, 0.00635776412499, 0.412221458351, 0.0116077450914, 0.0233178477089, 0.0100006567961, 0.00879328961497, 0.409427385754, 0.00409744996616, 0.00271656026791,a
0.0023885528489, 0.0835566693693, 0.00945732573194, 0.00525777950704, 0.242893987673, 0.00957380522215, 0.0195604876758, 0.0116553683239, 0.0151669493633, 0.565004059038, 0.00574838016118, 0.0297366350853,a
0.00131234272491, 0.100607268414, 0.0116123531088, 0.00638513712529, 0.329793833166, 0.0154956291111, 0.030767163188, 0.0077675249403, 0.017985527839, 0.471700068529, 0.00275815507789, 0.00381499677624,a
0.0022254566042, 0.136607298, 0.0153131075043, 0.00527920029892, 0.289958026586, 0.0204871826578, 0.0128406895984, 0.00303910388365, 0.00601512534599, 0.489912122041, 0.00757183540083, 0.0107508520793,a
0.00143902389208, 0.107827341279, 0.0108967040375, 0.00544046034052, 0.321879319665, 0.0187439420397, 0.0195003668312, 0.00606540211906, 0.0158912948393, 0.449978849033, 0.0067232699184, 0.035614026005,a
0.00430803452523, 0.108507539464, 0.0164519831676, 0.00608327510093, 0.135115881693, 0.0172916417953, 0.0290051877863, 0.0661743748004, 0.0323729724654, 0.539499120653, 0.00451875261488, 0.0406712359339,a
0.0016926463668, 0.131990930821, 0.0108312841895, 0.00706078281149, 0.301172417425, 0.00802577225719, 0.00595794782224, 0.00933264715631, 0.0104060881303, 0.493035319664, 0.0118389904141, 0.00865517294207,a
0.0028071604834, 0.100504027273, 0.00614093937451, 0.00756559511683, 0.362061410065, 0.0102856050783, 0.0451330479688, 0.0322612163908, 0.0291986770338, 0.360516567406, 0.00450965675581, 0.0390160970526,a
0.00095516402941, 0.0576909049827, 0.00442357437473, 0.0043746115141, 0.303539543774, 0.0109708528135, 0.0392404378533, 0.0186273388075, 0.0116749017253, 0.524406516385, 0.00402704691312, 0.0200691068279,a
0.00144306439321, 0.107889238208, 0.00846516687297, 0.00547112044368, 0.368715263516, 0.00506570728224, 0.0100780281986, 0.007859056131, 0.00665283755672, 0.458810988577, 0.00550985500967, 0.0140396738109,a
0.00129338622511, 0.142331777098, 0.00764531667374, 0.00793741680503, 0.368302964381, 0.0463302251967, 0.0237149230726, 0.0137951714544, 0.00966381184629, 0.368089936109, 0.00650603264153, 0.00438903849696,a
0.00186510647786, 0.315800377772, 0.00961738038129, 0.00865948727679, 0.0764752402903, 0.0382034340485, 0.0212223987377, 0.0105333236767, 0.0116733489032, 0.49262196558, 0.00576489895848, 0.00756303789663,a
0.000987271038795, 0.0866613342774, 0.00682110655797, 0.0129487615992, 0.41317757136, 0.00376990773268, 0.023213923343, 0.0108254839672, 0.00621451852334, 0.415552587445, 0.00257279268471, 0.0172547414698,a
0.00278423476546, 0.0991415706277, 0.0102327244224, 0.00439238164632, 0.301880358698, 0.0102961181454, 0.0190796995505, 0.0276313067094, 0.0194912257978, 0.477853864347, 0.00554067695165, 0.0216758383387,a
0.00114783599867, 0.0844726908244, 0.00663088003623, 0.00603047997119, 0.28744880343, 0.0161684712679, 0.0217638834685, 0.00482506978288, 0.00789536093677, 0.537891411403, 0.00546593303133, 0.0202591798498,a
0.00222138655222, 0.0881407055941, 0.00589201633139, 0.0059851763504, 0.361760611958, 0.00896967621319, 0.0369791353098, 0.0296519810782, 0.0328729940205, 0.361540130672, 0.00269311936897, 0.0632930665512,a
0.0020914299508, 0.0840655680184, 0.0059979631268, 0.0114083599764, 0.389282289252, 0.0294782808148, 0.014977323346, 0.00932622125667, 0.00745807320166, 0.420772682417, 0.00502852254193, 0.0201132860973,a
0.00309645015641, 0.105528139848, 0.00974683040263, 0.019445850517, 0.36905191566, 0.0211097532884, 0.05232703342, 0.0162232168055, 0.00878292721467, 0.37022427828, 0.00846598359723, 0.0159976208106,a
0.00396481555419, 0.127287390421, 0.00679036322073, 0.014802155996, 0.375026039095, 0.0123703630147, 0.0232233028873, 0.0277575735081, 0.0159862632575, 0.37382388262, 0.00644691830059, 0.0125209321253,a
0.00157498490961, 0.0684250454308, 0.0101572753702, 0.00647026351611, 0.333168965133, 0.00914806470748, 0.0376900320197, 0.00852690385026, 0.0111833513248, 0.505496980423, 0.00479393881811, 0.00336419449659,a
0.0023362141313, 0.201308931382, 0.0168847096191, 0.00719205637326, 0.204992018845, 0.00969628236353, 0.0155268156357, 0.0190610611154, 0.0113612102084, 0.5011671477, 0.00448560325534, 0.00598794937107,a
0.00158498819115, 0.101856119992, 0.0218262441616, 0.0112974403637, 0.563339063971, 0.0221202776582, 0.0239608271698, 0.00795257084061, 0.00639339575423, 0.210207848764, 0.00391428764747, 0.0255469354854,a
0.00171589966941, 0.0538374660051, 0.0188901297358, 0.00517282112917, 0.366226109954, 0.0103590684127, 0.0204851404722, 0.0308091917477, 0.0115471456202, 0.442730828345, 0.00270262125175, 0.0355235776568,a
0.00161231750786, 0.0711418804388, 0.00872090852858, 0.00733010938596, 0.292362636829, 0.0167975262304, 0.0301164702403, 0.0122341819488, 0.0292697649505, 0.473820457397, 0.00754080606939, 0.0490529404735,a
0.0016595655875, 0.147751336767, 0.00658506041302, 0.0124599453795, 0.348846132688, 0.0244916353399, 0.0170853528494, 0.0151330252586, 0.00972292773449, 0.396565279004, 0.00816953564751, 0.0115302033313,a
0.00115011564211, 0.116537378015, 0.00296272830238, 0.00357123658316, 0.270101229158, 0.00666215290166, 0.00234920257414, 0.0135642552967, 0.0436596799337, 0.507764086609, 0.0061675264723, 0.0255104085117,a
0.00400026916936, 0.140301143518, 0.00416094348208, 0.00596730130409, 0.228675206366, 0.0115692797932, 0.00622085616365, 0.0611096183762, 0.0723549474111, 0.424092132463, 0.00781771509527, 0.0337305868576,a
0.00124246125943, 0.107706128828, 0.00174386325529, 0.00305024447382, 0.200086404536, 0.00408277021182, 0.00325762083948, 0.0278510743477, 0.0339583649112, 0.59003347743, 0.0140521653331, 0.0129354245741,a
0.0021567094416, 0.204683114386, 0.00557198252596, 0.00525030205544, 0.132347223242, 0.00914144280452, 0.00493157693782, 0.0189256581659, 0.0488634464574, 0.511495687727, 0.00846957765753, 0.0481632785987,a
